rxn,split,data_id,group,n_atoms,match_by,n_cand,rmsd_A,rmsd_direct_A,s2_ours,s2_omol,omol_unrestricted,omol_charge,omol_spin,e_rks_ha,e_bs_ha,e_omol_ev,d_rks_mev,d_bs_mev,depth_mev,dF_rks_max,dF_bs_max,fmax_rks,fmax_bs,fmax_omol,omol_surface,source
rxn6196,train,trans1x,bs,12,name,1231,0.000000,0.000000,0.336403,0.339489,1,0,1,-323.274737734,-323.275806537,-8796.782739604,28.9875,-0.0960,29.08,1.145086,0.006900,1.075231,0.424345,0.424064,gebrochen,trans1x/t1x_rxn6196_1250_1245_0_1/orca.tar.zst
rxn7949,train,trans1x,bs,12,name,1418,0.000001,0.000001,0.893184,0.891627,1,0,1,-323.325816841,-323.345971454,-8798.692048481,548.3631,-0.0718,548.43,1.579444,0.001172,0.953671,1.702443,1.703146,gebrochen,trans1x/t1x_rxn7949_1418_1414_0_1/orca.tar.zst
rxn7957,train,trans1x,bs,12,name,418,0.000000,0.000000,0.537344,0.534172,1,0,1,-323.325919463,-323.329884577,-8798.254302319,107.8245,-0.0718,107.90,0.962102,0.001078,0.785336,0.526905,0.526778,gebrochen,trans1x/t1x_rxn7957_418_414_0_1/orca.tar.zst
rxn8827,train,trans1x,bs,12,name,274,0.000001,0.000001,0.342273,0.336054,1,0,1,-323.283666402,-323.284656727,-8797.023589948,26.8765,-0.0716,26.95,1.086106,0.002344,0.592516,1.125592,1.126663,gebrochen,trans1x/t1x_rxn8827_274_270_0_1/orca.tar.zst
rxn8832,train,trans1x,bs,12,name,346,0.000000,0.000000,0.872220,0.871005,1,0,1,-323.307574200,-323.323377063,-8798.077223943,429.9461,-0.0717,430.02,2.726574,0.001658,0.702670,2.709067,2.708971,gebrochen,trans1x/t1x_rxn8832_346_342_0_1/orca.tar.zst
rxn8837,train,trans1x,bs,12,name,330,0.000000,0.000000,0.732342,0.731391,1,0,1,-323.269970492,-323.280220516,-8796.902874179,278.8454,-0.0720,278.92,1.661795,0.002743,0.620752,1.808190,1.808691,gebrochen,trans1x/t1x_rxn8837_330_326_0_1/orca.tar.zst
rxn8885,train,trans1x,bs,12,name,343,0.000000,0.000000,0.518607,0.514824,1,0,1,-323.298373931,-323.299762423,-8797.434610816,37.6851,-0.0977,37.78,2.733862,0.006543,0.695140,2.045265,2.038722,gebrochen,trans1x/t1x_rxn8885_362_358_0_1/orca.tar.zst
rxn0101,train,trans1x,closed,11,name,858,0.000001,0.000001,-0.000000,0.000000,1,0,1,-322.424482499,-322.424482499,-8773.617056919,-0.0715,-0.0715,0.00,0.002322,0.002301,0.463120,0.463357,0.463239,einzige,trans1x/t1x_rxn0101_858_854_0_1/orca.tar.zst
rxn0896,train,trans1x,closed,11,name,1418,0.000000,0.000000,0.000000,0.000147,1,0,1,-322.352955043,-322.352955042,-8771.670689729,-0.0775,-0.0775,-0.00,0.002701,0.003658,0.430942,0.430124,0.431851,einzige,trans1x/t1x_rxn0896_1418_1414_0_1/orca.tar.zst
rxn10005,train,trans1x,closed,10,name,2138,0.000001,0.000001,0.000000,0.000106,1,0,1,-392.619967381,-392.619967381,-10683.733488728,-0.0916,-0.0916,-0.00,0.001204,0.001047,0.950520,0.950550,0.949621,einzige,trans1x/t1x_rxn10005_2138_2133_0_1/orca.tar.zst
rxn10054,train,trans1x,closed,12,name,2218,0.000000,0.000000,-0.000000,0.000071,1,0,1,-323.357224271,-323.357224270,-8798.998249155,-0.0759,-0.0759,-0.00,0.003549,0.002077,0.851803,0.851776,0.850903,einzige,trans1x/t1x_rxn10054_2218_2211_0_1/orca.tar.zst
rxn1061,train,trans1x,closed,11,name,1754,0.000001,0.000001,0.000000,0.000000,1,0,1,-322.507815788,-322.507815788,-8775.884671275,-0.0715,-0.0715,0.00,0.004060,0.003762,0.649724,0.649718,0.649952,einzige,trans1x/t1x_rxn1061_1754_1750_0_1/orca.tar.zst
rxn1150,train,trans1x,closed,11,name,354,0.000001,0.000001,0.000000,0.000001,1,0,1,-322.398661095,-322.398661095,-8772.914420082,-0.0722,-0.0722,0.00,0.001865,0.001840,0.366674,0.366561,0.366631,einzige,trans1x/t1x_rxn1150_354_350_0_1/orca.tar.zst
rxn1154,train,trans1x,closed,11,name,1962,0.000001,0.000001,-0.000000,0.000001,1,0,1,-322.388171045,-322.388171045,-8772.628971102,-0.0723,-0.0723,-0.00,0.003092,0.003133,0.770145,0.770218,0.769968,einzige,trans1x/t1x_rxn1154_1962_1958_0_1/orca.tar.zst
rxn1155,train,trans1x,closed,11,name,866,0.000001,0.000001,-0.000000,0.000000,1,0,1,-322.427393499,-322.427393499,-8773.696269181,-0.0716,-0.0716,-0.00,0.001501,0.001502,0.295440,0.295458,0.295284,einzige,trans1x/t1x_rxn1155_866_862_0_1/orca.tar.zst
rxn1961,train,trans1x,closed,10,name,266,0.000001,0.000001,0.000000,0.000000,1,0,1,-284.384968739,-284.384968739,-7738.509163886,-0.0630,-0.0630,0.00,0.001612,0.001571,0.263428,0.263387,0.263608,einzige,trans1x/t1x_rxn1961_266_262_0_1/orca.tar.zst
rxn1962,train,trans1x,closed,10,name,562,0.000001,0.000001,0.000000,0.000000,1,0,1,-284.378297514,-284.378297515,-7738.327630652,-0.0630,-0.0630,0.00,0.001981,0.001957,0.686282,0.686461,0.687614,einzige,trans1x/t1x_rxn1962_562_558_0_1/orca.tar.zst
rxn2553,train,trans1x,closed,11,name,434,0.000000,0.000000,0.000000,0.000000,1,0,1,-322.501730988,-322.501730988,-8775.719095426,-0.0715,-0.0715,0.00,0.002249,0.002198,0.849596,0.849626,0.850283,einzige,trans1x/t1x_rxn2553_434_430_0_1/orca.tar.zst
rxn4003,train,trans1x,closed,14,name,1978,0.000000,0.000000,-0.000000,0.000000,1,0,1,-303.810014294,-303.810014294,-8267.091577016,-0.0673,-0.0673,0.00,0.001754,0.001976,0.196338,0.196263,0.195741,einzige,trans1x/t1x_rxn4003_1978_1974_0_1/orca.tar.zst
rxn4004,train,trans1x,closed,14,name,1682,0.000001,0.000001,0.000000,0.000000,1,0,1,-303.805789987,-303.805789987,-8266.976627758,-0.0673,-0.0673,0.00,0.001585,0.001594,0.337923,0.337914,0.339508,einzige,trans1x/t1x_rxn4004_1682_1678_0_1/orca.tar.zst
rxn4060,train,trans1x,closed,14,name,1602,0.000000,0.000000,0.000000,0.000000,1,0,1,-303.810014294,-303.810014294,-8267.091577157,-0.0672,-0.0672,0.00,0.001943,0.001912,0.410612,0.410627,0.408786,einzige,trans1x/t1x_rxn4060_1602_1598_0_1/orca.tar.zst
rxn4063,train,trans1x,closed,14,name,242,0.000000,0.000000,0.000000,0.000000,1,0,1,-303.811200680,-303.811200681,-8267.123860254,-0.0673,-0.0673,0.00,0.000989,0.001106,0.296398,0.296112,0.295483,einzige,trans1x/t1x_rxn4063_242_238_0_1/orca.tar.zst
rxn4114,train,trans1x,closed,11,name,218,0.000001,0.000001,0.000000,0.000000,1,0,1,-322.478290723,-322.478290722,-8775.081253237,-0.0716,-0.0716,-0.00,0.003151,0.003126,0.260721,0.260721,0.261065,einzige,trans1x/t1x_rxn4114_218_214_0_1/orca.tar.zst
rxn4498,train,trans1x,closed,11,name,322,0.000001,0.000001,0.000000,0.000000,1,0,1,-322.413325386,-322.413325386,-8773.313456701,-0.0712,-0.0712,0.00,0.002193,0.002192,0.632306,0.632196,0.631988,einzige,trans1x/t1x_rxn4498_322_318_0_1/orca.tar.zst
rxn4500,train,trans1x,closed,11,name,2834,0.000000,0.000000,0.000000,0.000000,1,0,1,-322.355689465,-322.355689465,-8771.745103044,-0.0716,-0.0716,0.00,0.002630,0.002684,0.937718,0.937793,0.937971,einzige,trans1x/t1x_rxn4500_2834_2830_0_1/orca.tar.zst
rxn4513,train,trans1x,closed,11,name,450,0.000000,0.000000,0.000000,0.000000,1,0,1,-322.461175879,-322.461175879,-8774.615534374,-0.0718,-0.0718,0.00,0.001126,0.001182,0.591609,0.591678,0.590692,einzige,trans1x/t1x_rxn4513_450_446_0_1/orca.tar.zst
rxn4519,train,trans1x,closed,11,name,994,0.000001,0.000001,0.000000,0.000000,1,0,1,-322.352778991,-322.352778991,-8771.665905124,-0.0715,-0.0715,0.00,0.002714,0.002775,0.718355,0.718159,0.719518,einzige,trans1x/t1x_rxn4519_994_990_0_1/orca.tar.zst
rxn7060,train,trans1x,closed,12,name,1066,0.000000,0.000000,0.000000,0.000004,1,0,1,-323.257269617,-323.257269616,-8796.278348481,-0.0719,-0.0719,-0.00,0.001926,0.001942,0.872470,0.872462,0.872371,einzige,trans1x/t1x_rxn7060_1066_1062_0_1/orca.tar.zst
rxn7936,train,trans1x,closed,12,name,610,0.000001,0.000001,0.000000,0.000002,1,0,1,-323.257962746,-323.257962746,-8796.297209332,-0.0720,-0.0720,0.00,0.001646,0.001886,0.324857,0.324848,0.325179,einzige,trans1x/t1x_rxn7936_610_606_0_1/orca.tar.zst
rxn7937,train,trans1x,closed,12,name,2106,0.000001,0.000001,-0.000000,0.004580,1,0,1,-323.329681956,-323.329681954,-8798.248762527,-0.0980,-0.0979,-0.00,0.009199,0.008688,0.766067,0.766259,0.764104,einzige,trans1x/t1x_rxn7937_2106_2102_0_1/orca.tar.zst
rxn7945,train,trans1x,closed,12,name,674,0.000000,0.000000,0.002966,0.010231,1,0,1,-323.327178616,-323.327178720,-8798.180665272,-0.0759,-0.0787,0.00,0.019804,0.014134,0.581548,0.579682,0.576267,einzige,trans1x/t1x_rxn7945_674_670_0_1/orca.tar.zst
rxn7955,train,trans1x,closed,12,name,322,0.000000,0.000000,0.000000,0.000000,1,0,1,-323.360030074,-323.360030074,-8799.074603111,-0.0717,-0.0717,0.00,0.000952,0.000927,0.914215,0.914226,0.914719,einzige,trans1x/t1x_rxn7955_322_318_0_1/orca.tar.zst
rxn8829,train,trans1x,closed,12,name,634,0.000001,0.000001,-0.000000,0.000000,1,0,1,-323.318392122,-323.318392123,-8797.941576638,-0.0718,-0.0719,0.00,0.002929,0.002920,0.849578,0.849366,0.850000,einzige,trans1x/t1x_rxn8829_634_630_0_1/orca.tar.zst
rxn9246,train,trans1x,closed,11,name,2770,0.000000,0.000000,0.000000,0.000000,1,0,1,-322.508914294,-322.508914294,-8775.914563065,-0.0716,-0.0716,0.00,0.003539,0.003673,0.608812,0.608738,0.609169,einzige,trans1x/t1x_rxn9246_2770_2765_0_1/orca.tar.zst
