rxn,model,unstable,F_model,F_tzvp,F_tzvpd,mae_force,maxcomp_err,barr_model,barr_tzvp,barr_tzvpd,rxne_model,rxne_tzvp,rxne_tzvpd,s2_ts_tzvpd
rxn10054,uma-m,0,0.0101,0.0678,0.0441,0.010600,0.046496,1.8353,1.8412,1.8382,-1.4668,-1.4700,-1.4672,0.0726
rxn10054,uma-s,0,0.5658,0.5945,0.5687,0.015606,0.064784,1.8291,1.8384,1.8362,-1.4670,-1.4700,-1.4673,0.3041
rxn1061,esen,0,0.0631,0.0525,0.0785,0.007347,0.023411,1.1333,1.1352,1.1391,-0.6341,-0.6423,-0.6351,-0.0000
rxn1061,uma-m,0,0.0024,0.0489,0.0132,0.003526,0.013367,1.1368,1.1351,1.1390,-0.6357,-0.6423,-0.6351,0.0000
rxn1061,uma-s,0,0.0278,0.0653,0.0290,0.003486,0.013238,1.1382,1.1351,1.1390,-0.6353,-0.6423,-0.6351,-0.0000
rxn1147,esen,1,0.0304,0.0697,0.0645,0.017952,0.064313,3.8893,3.8864,3.8776,3.4651,3.4777,3.4641,0.0000
rxn1147,uma-m,1,0.0239,0.0551,0.0418,0.009500,0.039016,3.8801,3.8874,3.8784,3.4618,3.4778,3.4644,0.0000
rxn1147,uma-s,1,0.0297,0.0814,0.0972,0.017595,0.097433,,,3.8758,,,3.4644,0.0000
rxn1150,esen,0,0.0687,0.0951,0.1138,0.019453,0.087951,3.5950,3.6039,3.6075,2.9607,2.9483,2.9557,0.0000
rxn1150,uma-m,0,0.0823,0.0691,0.0877,0.010843,0.048501,3.6069,3.6046,3.6083,2.9543,2.9481,2.9554,0.0000
rxn1150,uma-s,0,0.0571,0.0824,0.0684,0.011873,0.058373,3.6102,3.6047,3.6084,2.9561,2.9480,2.9554,0.0000
rxn1154,esen,0,0.0026,0.1082,0.0896,0.027738,0.087786,3.8437,3.8601,3.8516,0.9690,0.9643,0.9709,-0.0000
rxn1154,uma-m,0,0.0178,0.0441,0.0312,0.009039,0.028015,3.8382,3.8491,3.8416,0.9706,0.9644,0.9709,0.0000
rxn1154,uma-s,0,0.0318,0.1220,0.1131,0.021482,0.109328,3.8406,3.8483,3.8401,0.9701,0.9643,0.9708,-0.0000
rxn1155,esen,0,0.0046,0.0580,0.0657,0.014690,0.065846,2.8055,2.8082,2.8071,0.7516,0.7611,0.7470,-0.0000
rxn1155,uma-m,0,0.0052,0.0368,0.0198,0.005047,0.019473,2.8036,2.8080,2.8068,0.7462,0.7611,0.7471,0.0000
rxn1155,uma-s,0,0.0065,0.0671,0.0537,0.013947,0.053256,2.8019,2.8082,2.8071,0.7465,0.7611,0.7471,0.0000
rxn1283,esen,1,0.0731,0.1049,0.1243,0.024988,0.097118,4.8005,4.8220,4.8205,3.7261,3.7717,3.7334,0.9873
rxn1283,uma-m,1,0.0568,0.1413,0.1293,0.016863,0.091382,4.8169,4.8479,4.8454,3.7276,3.7688,3.7309,0.9939
rxn1283,uma-s,1,0.0814,0.1624,0.1791,0.039322,0.164124,4.8162,4.8195,4.8175,3.7304,3.7684,3.7304,0.9785
rxn1320,esen,1,0.0160,0.1153,0.0989,0.018537,0.100994,2.7681,2.7700,2.7719,-0.0811,-0.1080,-0.0820,0.6864
rxn1320,uma-m,1,0.0166,0.0427,0.0286,0.007613,0.025106,2.7707,2.7704,2.7722,-0.0812,-0.1080,-0.0820,0.6951
rxn1320,uma-s,1,0.0202,0.0665,0.0506,0.015782,0.054539,2.7659,2.7714,2.7730,-0.0813,-0.1080,-0.0820,0.6885
rxn1961,esen,0,0.0342,0.0476,0.0286,0.004742,0.021587,2.2447,2.2418,2.2449,0.8890,0.8929,0.8883,-0.0000
rxn1961,uma-m,0,0.0273,0.0467,0.0303,0.001863,0.007102,2.2445,2.2418,2.2448,0.8880,0.8929,0.8883,-0.0000
rxn1961,uma-s,0,0.0232,0.0501,0.0217,0.002053,0.009380,2.2445,2.2418,2.2449,0.8881,0.8929,0.8883,-0.0000
rxn1962,esen,0,0.0226,0.0303,0.0339,0.004911,0.016933,2.4248,2.4156,2.4241,1.0083,1.0324,1.0081,0.0000
rxn1962,uma-m,0,0.0193,0.0369,0.0278,0.003698,0.014687,2.4224,2.4155,2.4240,1.0089,1.0338,1.0099,0.0000
rxn1962,uma-s,0,0.0210,0.0563,0.0271,0.004466,0.016886,2.4229,2.4156,2.4241,1.0073,1.0325,1.0082,0.0000
rxn2553,esen,0,0.0412,0.0697,0.0409,0.008588,0.027601,1.9829,1.9740,1.9774,0.7282,0.7333,0.7279,-0.0000
rxn2553,uma-m,0,0.0461,0.0765,0.0481,0.003591,0.011838,1.9746,1.9738,1.9773,0.7271,0.7331,0.7276,0.0000
rxn2553,uma-s,0,0.0446,0.0515,0.0496,0.007611,0.027390,1.9815,1.9739,1.9773,0.7264,0.7333,0.7278,-0.0000
rxn3107,esen,1,0.0069,0.1628,0.2565,0.043552,0.256534,4.0954,4.1257,4.0933,1.3080,1.3214,1.3123,0.1162
rxn3107,uma-m,1,0.0040,0.1061,0.1686,0.027829,0.168632,4.0932,4.1256,4.0939,1.3111,1.3219,1.3135,0.1467
rxn3107,uma-s,1,0.0032,0.1573,0.0958,0.022379,0.094848,4.0891,4.1281,4.0970,1.3131,1.3219,1.3133,0.1762
rxn4003,esen,0,0.0090,0.0497,0.0223,0.003093,0.014105,1.9732,1.9696,1.9730,0.7221,0.7271,0.7203,0.0000
rxn4003,uma-m,0,0.0136,0.0419,0.0106,0.002704,0.011258,1.9721,1.9696,1.9730,0.7211,0.7271,0.7203,0.0000
rxn4003,uma-s,0,0.0019,0.0391,0.0106,0.002233,0.009479,1.9735,1.9696,1.9730,0.7203,0.7271,0.7203,-0.0000
rxn4004,esen,0,0.0007,0.0667,0.0306,0.005292,0.030854,2.0890,2.0775,2.0874,1.0746,1.0668,1.0719,0.0000
rxn4004,uma-m,0,0.0005,0.0627,0.0105,0.002633,0.010512,2.0845,2.0773,2.0872,1.0723,1.0668,1.0719,-0.0000
rxn4004,uma-s,0,0.0004,0.0752,0.0179,0.004338,0.017991,2.0858,2.0774,2.0872,1.0715,1.0668,1.0719,-0.0000
rxn4060,esen,0,0.0004,0.0535,0.0199,0.004051,0.020103,1.9634,1.9558,1.9635,0.9977,0.9922,0.9974,0.0000
rxn4060,uma-m,0,0.0005,0.0405,0.0067,0.001877,0.007021,1.9617,1.9559,1.9635,0.9973,0.9922,0.9974,-0.0000
rxn4060,uma-s,0,0.0003,0.0419,0.0108,0.002619,0.010746,1.9633,1.9559,1.9636,0.9978,0.9922,0.9974,-0.0000
rxn4063,esen,0,0.0431,0.0906,0.0400,0.005305,0.020387,1.9340,1.9349,1.9329,0.6661,0.6780,0.6662,-0.0000
rxn4063,uma-m,0,0.0374,0.0928,0.0391,0.002405,0.015605,1.9319,1.9348,1.9329,0.6666,0.6780,0.6663,-0.0000
rxn4063,uma-s,0,0.0343,0.0847,0.0417,0.004118,0.015468,1.9342,1.9348,1.9329,0.6651,0.6778,0.6661,-0.0000
rxn4113,esen,1,0.0577,0.1820,0.1141,0.038233,0.120936,5.3718,5.4259,5.4051,0.9424,0.9451,0.9401,0.1675
rxn4113,uma-m,1,0.1432,0.1858,0.1959,0.018515,0.052719,4.3484,4.3612,4.3599,0.9405,0.9451,0.9401,1.0073
rxn4113,uma-s,1,0.1000,0.1692,0.1353,0.029406,0.079907,5.4006,5.4260,5.4049,0.9403,0.9451,0.9401,0.1284
rxn4114,esen,0,0.0471,0.0555,0.0605,0.011615,0.061460,2.4748,2.4724,2.4724,0.7053,0.7122,0.7023,-0.0000
rxn4114,uma-m,0,0.0366,0.0514,0.0474,0.004784,0.033743,2.4715,2.4723,2.4724,0.7028,0.7122,0.7023,-0.0000
rxn4114,uma-s,0,0.0379,0.0349,0.0403,0.006096,0.025442,2.4758,2.4723,2.4724,0.7030,0.7122,0.7023,0.0000
rxn4498,esen,0,0.0494,0.0846,0.0803,0.026757,0.071697,3.2788,3.2914,3.2966,0.9554,0.9602,0.9545,-0.0000
rxn4498,uma-m,0,0.0579,0.0721,0.0693,0.011864,0.037226,3.2930,3.2908,3.2958,0.9559,0.9602,0.9544,-0.0000
rxn4498,uma-s,0,0.0463,0.0907,0.0734,0.017311,0.076925,3.2957,3.2915,3.2967,0.9549,0.9602,0.9544,0.0000
rxn4500,esen,0,0.0783,0.1113,0.1092,0.006541,0.030895,4.8621,4.8631,4.8638,2.6721,2.6763,2.6701,-0.0000
rxn4500,uma-m,0,0.0897,0.0999,0.0979,0.004021,0.012523,4.8622,4.8630,4.8637,2.6699,2.6763,2.6700,-0.0000
rxn4500,uma-s,0,0.0918,0.1064,0.1044,0.010393,0.049983,4.8653,4.8630,4.8638,2.6670,2.6763,2.6701,-0.0000
rxn4513,esen,0,0.1200,0.1461,0.1261,0.013766,0.056331,1.9519,1.9549,1.9516,-0.8071,-0.8222,-0.8058,-0.0000
rxn4513,uma-m,0,0.1244,0.1496,0.1295,0.005404,0.016639,1.9457,1.9547,1.9513,-0.8047,-0.8222,-0.8058,-0.0000
rxn4513,uma-s,0,0.1332,0.1542,0.1340,0.009363,0.032978,1.9481,1.9544,1.9511,-0.8036,-0.8222,-0.8059,-0.0000
rxn4518,esen,1,0.0307,0.0501,0.0433,0.016474,0.049539,3.9113,3.9253,3.9215,3.1034,3.0940,3.1049,1.0090
rxn4518,uma-m,1,0.0246,0.0572,0.0390,0.008591,0.045016,3.9286,3.9282,3.9236,3.1039,3.0940,3.1048,1.0083
rxn4518,uma-s,1,0.0298,0.0592,0.0523,0.011899,0.062800,3.9103,3.9257,3.9215,3.1059,3.0940,3.1048,1.0087
rxn4519,esen,0,0.0449,0.0712,0.0788,0.016320,0.056983,4.8884,4.9005,4.8959,1.4671,1.4461,1.4688,0.0000
rxn4519,uma-m,0,0.0004,0.0305,0.0324,0.006946,0.032431,4.8886,4.8996,4.8951,1.4690,1.4461,1.4688,0.0000
rxn4519,uma-s,0,0.0033,0.0480,0.0463,0.012580,0.046237,4.8925,4.9005,4.8959,1.4698,1.4461,1.4688,-0.0000
rxn4522,esen,1,0.0880,0.0710,0.0728,0.016380,0.053374,3.8633,3.8432,3.8496,2.2365,2.2307,2.2373,1.0055
rxn4522,uma-m,1,0.0868,0.0810,0.0833,0.007287,0.036582,3.8504,3.8447,3.8510,2.2363,2.2306,2.2373,1.0052
rxn4522,uma-s,1,0.0841,0.0725,0.0746,0.011152,0.039418,3.8469,3.8412,3.8474,2.2358,2.2306,2.2373,1.0057
rxn5690,esen,1,0.0230,0.1535,0.1544,0.047509,0.154375,3.4653,3.4913,3.4911,2.7370,2.7272,2.7365,0.2861
rxn5690,uma-m,1,0.0283,0.1098,0.1022,0.023865,0.083508,3.4797,3.4858,3.4856,2.7322,2.7271,2.7363,0.3152
rxn5690,uma-s,1,0.0276,0.1843,0.1868,0.034118,0.194370,3.4723,3.4865,3.4862,2.7356,2.7271,2.7363,0.3018
rxn5691,esen,1,0.0564,0.0699,0.0462,0.019469,0.051793,2.3457,2.3734,2.3657,1.0491,1.0538,1.0523,1.0116
rxn5691,uma-m,1,0.0896,0.0834,0.0754,0.013478,0.059011,2.4352,2.4354,2.4266,1.0518,1.0537,1.0522,1.0171
rxn5691,uma-s,1,0.0409,0.1482,0.1300,0.023704,0.130293,2.3666,2.3728,2.3652,1.0532,1.0537,1.0523,1.0114
rxn6196,esen,1,0.1233,0.1396,0.1422,0.015710,0.075643,4.2208,4.2204,4.2178,3.4566,3.4543,3.4568,0.5102
rxn6196,uma-m,1,0.1181,0.1433,0.1398,0.012715,0.075214,4.2113,4.2196,4.2170,3.4534,3.4543,3.4568,0.4953
rxn6196,uma-s,1,0.1102,0.0919,0.0861,0.034846,0.119177,4.2245,4.2189,4.2166,3.4577,3.4543,3.4568,0.5166
rxn7060,esen,1,0.0284,1.1258,1.0889,0.202551,1.102703,6.1211,6.2075,6.1988,3.2442,3.2558,3.2484,-0.0000
rxn7060,uma-m,1,0.0023,0.3347,0.3039,0.072689,0.305933,6.1493,6.1612,6.1540,3.2433,3.2558,3.2484,-0.0000
rxn7060,uma-s,1,0.0189,0.8843,0.8523,0.157275,0.858009,6.1367,6.1834,6.1748,3.2414,3.2559,3.2485,-0.0000
rxn7936,esen,0,0.1217,0.1597,0.1513,0.049983,0.273068,5.7980,5.8142,5.7999,3.8069,3.8114,3.8067,-0.0000
rxn7936,uma-m,0,0.0506,0.0661,0.0518,0.017773,0.073888,5.7946,5.8126,5.7985,3.8041,3.8111,3.8066,-0.0000
rxn7936,uma-s,0,0.0312,0.1117,0.1090,0.023882,0.110532,5.7923,5.8130,5.7989,3.8073,3.8112,3.8066,0.0000
rxn7937,esen,0,0.0022,0.2250,0.2055,0.040291,0.205557,3.8038,3.8313,3.8219,2.8768,2.9118,2.9070,-0.0000
rxn7937,uma-m,0,0.0022,0.0367,0.0352,0.009792,0.035123,3.8147,3.8262,3.8172,2.9098,2.9091,2.9044,0.0000
rxn7937,uma-s,0,0.0172,0.1000,0.0890,0.018423,0.085079,3.8135,3.8278,3.8185,2.8969,2.9114,2.9064,0.0000
rxn7945,esen,0,0.0471,0.1315,0.1297,0.028071,0.106711,3.3868,3.3872,3.3813,2.8377,2.8379,2.8333,-0.0000
rxn7945,uma-m,0,0.0154,0.0813,0.0923,0.017117,0.093982,3.8838,3.8995,3.8934,2.8307,2.8320,2.8274,-0.0000
rxn7945,uma-s,0,0.0146,0.0586,0.0566,0.019506,0.057910,3.8687,3.9002,3.8941,2.8218,2.8350,2.8304,-0.0000
rxn7949,esen,1,0.0102,0.0735,0.0481,0.013371,0.048566,2.7520,2.7545,2.7571,-0.1320,-0.1386,-0.1322,1.0012
rxn7949,uma-m,1,0.0036,0.0473,0.0533,0.009102,0.052601,2.7669,2.7542,2.7568,-0.1320,-0.1386,-0.1321,1.0000
rxn7949,uma-s,1,0.0043,0.2407,0.2489,0.054121,0.248859,2.7971,2.7696,2.7718,-0.1326,-0.1386,-0.1321,0.9972
rxn7955,esen,0,0.0495,0.0460,0.0483,0.013785,0.048569,3.0218,3.0237,3.0183,2.9365,2.9451,2.9400,-0.0000
rxn7955,uma-m,0,0.0507,0.0373,0.0337,0.005730,0.022692,3.0123,3.0235,3.0180,2.9378,2.9455,2.9404,-0.0000
rxn7955,uma-s,0,0.0468,0.0603,0.0458,0.010936,0.040727,3.0137,3.0236,3.0182,2.9422,2.9448,2.9398,-0.0000
rxn7957,esen,1,0.0200,0.1107,0.1143,0.030627,0.108108,2.9465,2.9174,2.9137,1.5980,1.5995,1.6002,0.7338
rxn7957,uma-m,1,0.0092,0.1108,0.1143,0.025381,0.105830,,,2.9138,,,1.6001,0.6879
rxn7957,uma-s,1,0.0287,0.1414,0.1251,0.030566,0.117209,2.9154,2.9172,2.9135,1.6001,1.5995,1.6002,0.7371
rxn8827,esen,1,0.0380,0.2305,0.2221,0.054289,0.220751,3.4866,3.4413,3.4326,2.7002,2.7242,2.7124,1.0091
rxn8827,uma-m,1,0.0325,0.1307,0.1373,0.032742,0.140227,3.4555,3.4428,3.4331,2.7099,2.7218,2.7094,1.0068
rxn8827,uma-s,1,0.0288,0.1761,0.1801,0.051975,0.175093,3.4560,3.4551,3.4455,2.6963,2.7219,2.7094,1.0008
rxn8829,esen,0,0.0516,0.0568,0.0690,0.016269,0.070429,2.9017,2.9024,2.8952,-1.3452,-1.3463,-1.3443,0.0000
rxn8829,uma-m,0,0.0376,0.0446,0.0448,0.005162,0.012510,2.8885,2.9021,2.8948,-1.3434,-1.3463,-1.3443,-0.0000
rxn8829,uma-s,0,0.0394,0.0466,0.0384,0.010368,0.029135,2.8967,2.9022,2.8950,-1.3435,-1.3463,-1.3443,-0.0000
rxn8832,esen,1,0.0380,0.2268,0.2219,0.047471,0.226540,2.5270,2.4908,2.4873,0.8601,0.8594,0.8620,0.9887
rxn8832,uma-m,1,0.0344,0.0767,0.0778,0.014334,0.076685,2.4747,2.4849,2.4814,0.8610,0.8591,0.8617,0.9905
rxn8832,uma-s,1,0.0284,0.0975,0.1081,0.030037,0.103358,2.4929,2.5009,2.4974,0.8626,0.8596,0.8622,0.9825
rxn8837,esen,1,0.0915,0.0964,0.0993,0.013010,0.086637,4.5923,4.5867,4.5844,2.6773,2.7087,2.6971,-0.0000
rxn8837,uma-m,1,0.7523,0.7574,0.7636,0.113389,0.439443,6.9451,6.9076,6.9089,2.6805,2.7044,2.6925,1.0070
rxn8837,uma-s,1,0.0460,0.7489,0.7350,0.165037,0.731320,9.6382,9.0238,9.0187,2.6513,2.7032,2.6915,1.0100
rxn8885,esen,1,0.3995,0.3801,0.3801,0.017598,0.097695,3.2629,3.2886,3.2608,1.0892,1.1055,1.0911,1.0282
rxn8885,uma-m,1,0.0219,0.1781,0.1162,0.024980,0.127377,3.5723,3.5970,3.5688,1.0914,1.1055,1.0911,0.1136
rxn8885,uma-s,1,0.4678,0.4833,0.4817,0.020550,0.101477,3.2429,3.2513,3.2313,1.0895,1.1055,1.0911,1.0244
rxn9246,esen,0,0.0736,0.1004,0.0711,0.007896,0.041238,1.7774,1.7800,1.7780,0.8566,0.8593,0.8563,0.0000
rxn9246,uma-m,0,0.0698,0.0680,0.0689,0.001861,0.007764,1.7756,1.7800,1.7780,0.8572,0.8593,0.8563,-0.0000
rxn9246,uma-s,0,0.0588,0.0739,0.0558,0.004166,0.016568,1.7781,1.7798,1.7778,0.8555,0.8593,0.8563,-0.0000
