rxn,model,s2_rotation,s2_stabperform,dE,scf_cycles_rot,scf_cycles_stab,verdict_match
rxn4003,uma-s,0.000000,-0.000000,6.301e-09,16,13,1
rxn4004,esen,0.000000,0.000000,3.487e-09,19,14,1
rxn4004,uma-m,0.000000,-0.000000,3.398e-09,19,14,1
rxn4004,uma-s,0.000000,-0.000000,3.437e-09,19,14,1
rxn4060,esen,0.000000,0.000000,1.430e-08,16,14,1
rxn4060,uma-m,0.000000,-0.000000,1.427e-08,16,14,1
rxn4060,uma-s,0.000000,-0.000000,1.430e-08,16,14,1
rxn4063,esen,0.000000,-0.000000,5.210e-09,19,13,1
rxn4063,uma-m,0.000000,-0.000000,5.194e-09,19,13,1
rxn4063,uma-s,0.000000,-0.000000,4.725e-09,19,13,1
rxn4113,esen,0.167953,0.167451,-8.015e-12,63,28,1
rxn4113,uma-m,1.007267,1.007264,-1.507e-08,26,25,1
rxn4113,uma-s,0.000000,0.128374,2.623e-04,80,28,0
rxn4114,esen,0.000000,-0.000000,2.338e-09,17,13,1
rxn4114,uma-m,0.000000,-0.000000,2.095e-09,17,13,1
rxn4114,uma-s,0.000000,0.000000,2.112e-09,17,13,1
rxn4498,esen,0.000000,-0.000000,-1.317e-08,17,15,1
rxn4498,uma-m,0.000000,-0.000000,-1.175e-08,17,15,1
rxn4498,uma-s,0.000000,0.000000,3.034e-09,18,15,1
rxn4500,esen,0.000000,-0.000000,-8.310e-09,20,14,1
rxn4500,uma-m,0.000000,-0.000000,-7.996e-09,20,14,1
rxn4500,uma-s,0.000000,-0.000000,-8.035e-09,20,14,1
rxn4513,esen,0.000000,-0.000000,1.989e-08,21,16,1
rxn4513,uma-m,0.000000,-0.000000,2.195e-08,21,16,1
rxn4513,uma-s,0.000000,-0.000000,2.326e-08,21,16,1
rxn4518,esen,1.008977,1.008971,-1.339e-09,28,20,1
rxn4518,uma-m,1.008320,1.008306,-3.084e-08,28,18,1
rxn4518,uma-s,1.008668,1.008659,-2.967e-08,27,18,1
rxn4519,esen,0.000000,0.000000,1.798e-09,22,16,1
rxn4519,uma-m,0.000000,0.000000,1.242e-09,22,16,1
rxn4519,uma-s,0.000000,-0.000000,1.241e-09,22,16,1
rxn4522,esen,1.005467,1.005468,1.815e-09,32,24,1
rxn4522,uma-m,1.005225,1.005224,5.211e-09,30,20,1
rxn4522,uma-s,1.005654,1.005659,4.348e-08,29,20,1
rxn5690,esen,0.286729,0.286141,-8.440e-09,28,22,1
rxn5690,uma-m,0.315861,0.315234,7.260e-10,28,20,1
rxn5690,uma-s,0.302357,0.301789,1.103e-09,28,20,1
rxn5691,esen,1.011584,1.011588,5.367e-09,60,24,1
rxn5691,uma-m,1.017095,1.017103,-1.430e-09,31,94,1
rxn5691,uma-s,1.011382,1.011401,1.944e-09,60,22,1
rxn6196,esen,0.510368,0.510209,1.555e-08,38,25,1
rxn6196,uma-m,0.495243,0.495274,1.020e-08,40,25,1
rxn6196,uma-s,0.516878,0.516633,6.863e-09,35,25,1
rxn7060,esen,0.000000,-0.000000,5.942e-09,60,15,1
rxn7060,uma-m,0.000000,-0.000000,-9.800e-10,72,17,1
rxn7060,uma-s,0.000000,-0.000000,1.593e-08,63,16,1
rxn7936,esen,0.000000,-0.000000,-2.146e-08,61,18,1
rxn7936,uma-m,0.000000,-0.000000,-2.110e-08,58,18,1
rxn7936,uma-s,0.000000,0.000000,-2.091e-08,58,18,1
rxn7937,esen,0.000001,-0.000000,-2.922e-08,33,16,1
rxn7937,uma-m,0.000011,0.000000,7.788e-08,29,19,1
rxn7937,uma-s,0.000014,0.000000,9.495e-08,29,19,1
rxn7945,esen,0.000000,-0.000000,3.095e-08,20,16,1
rxn7945,uma-m,0.000000,-0.000000,1.683e-08,50,17,1
rxn7945,uma-s,0.000000,-0.000000,-1.941e-08,27,18,1
rxn7949,esen,1.001238,1.001232,3.585e-08,23,22,1
rxn7949,uma-m,1.000003,1.000002,1.808e-08,25,22,1
rxn7949,uma-s,0.997238,0.997225,3.048e-08,25,23,1
rxn7955,esen,0.000000,-0.000000,2.367e-09,23,15,1
rxn7955,uma-m,0.000000,-0.000000,2.775e-08,20,15,1
rxn7955,uma-s,0.000000,-0.000000,2.774e-08,20,15,1
rxn7957,esen,0.733699,0.733821,-4.483e-08,27,19,1
rxn7957,uma-m,0.687629,0.687857,-8.854e-08,27,19,1
rxn7957,uma-s,0.737044,0.737133,-3.806e-08,31,19,1
rxn8827,esen,1.009109,1.009114,-7.751e-09,25,23,1
rxn8827,uma-m,1.006775,1.006780,-7.436e-09,25,24,1
rxn8827,uma-s,1.000814,1.000839,1.759e-08,26,21,1
rxn8829,esen,0.000000,0.000000,5.449e-09,20,13,1
rxn8829,uma-m,0.000000,-0.000000,5.172e-09,20,13,1
rxn8829,uma-s,0.000000,-0.000000,5.278e-09,20,13,1
rxn8832,esen,0.988683,0.988726,8.609e-09,59,19,1
rxn8832,uma-m,0.990448,0.990454,-1.896e-09,60,23,1
rxn8832,uma-s,0.982476,0.982489,-5.822e-09,55,22,1
rxn8837,esen,0.000000,-0.000000,1.180e-10,26,18,1
rxn8837,uma-m,1.007013,1.007022,1.084e-08,36,20,1
rxn8837,uma-s,1.009993,1.009994,1.722e-09,25,95,1
rxn8885,esen,1.028231,1.028231,6.025e-12,57,39,1
rxn8885,uma-m,0.113401,0.113573,-3.502e-11,33,65,1
rxn8885,uma-s,1.024370,1.024371,1.700e-11,98,184,1
rxn9246,esen,0.000000,0.000000,-2.262e-09,19,15,1
rxn9246,uma-m,0.000000,-0.000000,-2.198e-09,19,15,1
rxn9246,uma-s,0.000000,-0.000000,-1.957e-09,19,15,1
