rxn,model,e_r_uks_ha,e_ts_uks_ha,e_p_uks_ha,e_ts_rks_ha,s2_r,s2_ts,s2_p,unstable_ts,depth_ts_mev,depth_src,f_model_max,f_model_norm_max,f_dft_max,f_err_max,f_err_mae,barr_model,barr_dft,barr_rks,err_barr,rxne_model,rxne_dft,err_rxne,scf_cyc_ts_uks,scf_cyc_ts_rks
rxn4004,esen,-303.882652306,-303.805942793,-303.843262417,,-0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.000679,0.000701,0.030554,0.030854,0.005292,2.088959,2.087372,,0.001586,1.074609,1.071853,0.002756,14,
rxn4004,uma-m,-303.882652635,-303.805950016,-303.843262416,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.000474,0.000488,0.010493,0.010512,0.002633,2.084451,2.087185,,-0.002734,1.072344,1.071862,0.000482,14,
rxn4004,uma-s,-303.882653028,-303.805948823,-303.843262234,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.000408,0.000442,0.017939,0.017991,0.004338,2.085838,2.087228,,-0.001390,1.071476,1.071878,-0.000403,14,
rxn4060,esen,-303.882318318,-303.810159317,-303.845663682,,-0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.000352,0.000438,0.019947,0.020103,0.004051,1.963400,1.963546,,-0.000146,0.997694,0.997423,0.000271,14,
rxn4060,uma-m,-303.882318609,-303.810160217,-303.845663438,,-0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.000467,0.000535,0.006676,0.007021,0.001877,1.961747,1.963530,,-0.001783,0.997345,0.997438,-0.000093,14,
rxn4060,uma-s,-303.882318308,-303.810158827,-303.845663080,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.000326,0.000445,0.010833,0.010746,0.002619,1.963262,1.963559,,-0.000297,0.997767,0.997440,0.000328,14,
rxn4063,esen,-303.882318318,-303.811284442,-303.857834256,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.043114,0.050430,0.040046,0.020387,0.005305,1.934025,1.932930,,0.001094,0.666139,0.666245,-0.000107,13,
rxn4063,uma-m,-303.882318609,-303.811286844,-303.857834104,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.037383,0.046632,0.039060,0.015605,0.002405,1.931895,1.932873,,-0.000978,0.666627,0.666257,0.000370,13,
rxn4063,uma-s,-303.882318307,-303.811287113,-303.857841201,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.034253,0.045021,0.041662,0.015468,0.004118,1.934154,1.932857,,0.001297,0.665062,0.666056,-0.000994,13,
rxn4113,esen,-322.569217490,-322.370584253,-322.534669989,-322.370138474,0.000000,0.167451,-0.000000,1,12.1,rks_sp,0.057740,0.060081,0.114111,0.120936,0.038233,5.371801,5.405086,5.417216,-0.033285,0.942386,0.940085,0.002300,28,16
rxn4113,uma-m,-322.569217520,-322.408995449,-322.534669764,-322.338367579,0.000000,1.007264,-0.000000,1,1921.9,rks_sp,0.143216,0.155238,0.195935,0.052719,0.018515,4.348441,4.359865,6.281747,-0.011423,0.940480,0.940092,0.000387,25,18
rxn4113,uma-s,-322.569217675,-322.370591167,-322.534670088,-322.370328878,0.000000,0.128374,-0.000000,1,7.1,rks_sp,0.099974,0.102292,0.135331,0.079907,0.029406,5.400587,5.404903,5.412040,-0.004316,0.940329,0.940088,0.000241,28,15
rxn4114,esen,-322.569217490,-322.478357247,-322.543410201,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.047131,0.051420,0.060453,0.061460,0.011615,2.474816,2.472433,,0.002383,0.705290,0.702252,0.003038,13,
rxn4114,uma-m,-322.569217520,-322.478359874,-322.543410203,,0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.036581,0.039040,0.047387,0.033743,0.004784,2.471485,2.472362,,-0.000877,0.702759,0.702253,0.000506,13,
rxn4114,uma-s,-322.569217675,-322.478359799,-322.543410267,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.037910,0.038699,0.040255,0.025442,0.006096,2.475822,2.472369,,0.003453,0.703033,0.702255,0.000778,13,
rxn4498,esen,-322.534670590,-322.413524031,-322.499594775,,-0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.049378,0.055498,0.080332,0.071697,0.026757,3.278755,3.296566,,-0.017811,0.955408,0.954462,0.000946,15,
rxn4498,uma-m,-322.534670468,-322.413553435,-322.499597049,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.057904,0.065147,0.069304,0.037226,0.011864,3.292959,3.295762,,-0.002804,0.955890,0.954396,0.001494,15,
rxn4498,uma-s,-322.534670709,-322.413520359,-322.499598020,,-0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.046334,0.054528,0.073367,0.076925,0.017311,3.295742,3.296669,,-0.000927,0.954904,0.954376,0.000528,15,
rxn4500,esen,-322.534670590,-322.355929900,-322.436547554,,0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.078271,0.083732,0.109166,0.030895,0.006541,4.862117,4.863782,,-0.001665,2.672055,2.670064,0.001991,14,
rxn4500,uma-m,-322.534670468,-322.355932454,-322.436547971,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.089677,0.093401,0.097865,0.012523,0.004021,4.862217,4.863709,,-0.001492,2.669903,2.670049,-0.000146,14,
rxn4500,uma-s,-322.534670709,-322.355929910,-322.436546873,,0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.091805,0.095144,0.104369,0.049983,0.010393,4.865273,4.863785,,0.001488,2.667009,2.670086,-0.003076,14,
rxn4513,esen,-322.533036059,-322.461316000,-322.562649530,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.119964,0.135135,0.126134,0.056331,0.013766,1.951894,1.951602,,0.000292,-0.807137,-0.805824,-0.001313,16,
rxn4513,uma-m,-322.533036305,-322.461326941,-322.562650316,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.124377,0.135749,0.129503,0.016639,0.005404,1.945747,1.951311,,-0.005564,-0.804719,-0.805838,0.001119,16,
rxn4513,uma-s,-322.533036467,-322.461334628,-322.562651052,,0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.133232,0.144860,0.133980,0.032978,0.009363,1.948143,1.951106,,-0.002964,-0.803629,-0.805854,0.002225,16,
rxn4518,esen,-322.533036058,-322.388921891,-322.418934347,-322.280445118,0.000000,1.008971,0.000000,1,2951.8,rks_sp,0.030672,0.031801,0.043335,0.049539,0.016474,3.911339,3.921546,6.873350,-0.010207,3.103403,3.104866,-0.001462,20,25
rxn4518,uma-m,-322.533036305,-322.388846333,-322.418936297,-322.286933584,-0.000000,1.008306,0.000000,1,2773.2,rks_sp,0.024591,0.030677,0.038971,0.045016,0.008591,3.928643,3.923609,6.696796,0.005034,3.103931,3.104819,-0.000889,18,23
rxn4518,uma-s,-322.533036467,-322.388923614,-322.418936816,-322.284777743,0.000000,1.008659,-0.000000,1,2834.0,rks_sp,0.029826,0.033433,0.052303,0.062800,0.011899,3.910334,3.921511,6.755464,-0.011177,3.105858,3.104810,0.001049,18,22
rxn4519,esen,-322.533036059,-322.353115421,-322.479060218,,0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.044921,0.045505,0.078831,0.056983,0.016320,4.888356,4.895890,,-0.007534,1.467081,1.468757,-0.001676,16,
rxn4519,uma-m,-322.533036305,-322.353144861,-322.479059961,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.000407,0.000409,0.032382,0.032431,0.006946,4.888618,4.895096,,-0.006478,1.468998,1.468771,0.000227,16,
rxn4519,uma-s,-322.533036468,-322.353116903,-322.479060342,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.003260,0.003305,0.046253,0.046237,0.012580,4.892514,4.895861,,-0.003347,1.469790,1.468765,0.001025,16,
rxn4522,esen,-322.533036059,-322.391564657,-322.450816603,-322.311131397,-0.000000,1.005468,0.000000,1,2188.7,rks_sp,0.087957,0.095802,0.072780,0.053374,0.016380,3.863318,3.849633,6.038333,0.013685,2.236484,2.237305,-0.000821,24,23
rxn4522,uma-m,-322.533036305,-322.391515415,-322.450818592,-322.311220649,0.000000,1.005224,-0.000000,1,2184.9,rks_sp,0.086799,0.096820,0.083309,0.036582,0.007287,3.850388,3.850980,6.035911,-0.000591,2.236293,2.237258,-0.000965,20,23
rxn4522,uma-s,-322.533036468,-322.391646018,-322.450817677,-322.310754943,-0.000000,1.005659,-0.000000,1,2201.2,rks_sp,0.084051,0.091803,0.074561,0.039418,0.011152,3.846898,3.847430,6.048588,-0.000532,2.235760,2.237287,-0.001527,20,23
rxn5690,esen,-323.407074625,-323.278780892,-323.306511692,-323.277876642,0.000000,0.286141,-0.000000,1,24.6,rks_sp,0.022978,0.029390,0.154437,0.154375,0.047509,3.465318,3.491050,3.515656,-0.025732,2.736983,2.736457,0.000527,22,16
rxn5690,uma-m,-323.407073594,-323.278979473,-323.306515448,-323.277851738,-0.000000,0.315234,-0.000000,1,30.7,rks_sp,0.028315,0.035955,0.102163,0.083508,0.023865,3.479745,3.485619,3.516306,-0.005874,2.732242,2.736327,-0.004084,20,16
rxn5690,uma-s,-323.407074299,-323.278960494,-323.306515685,-323.277943616,-0.000000,0.301789,-0.000000,1,27.7,rks_sp,0.027574,0.031323,0.186755,0.194370,0.034118,3.472286,3.486154,3.513825,-0.013868,2.735607,2.736339,-0.000732,20,16
rxn5691,esen,-323.407074625,-323.320135245,-323.368404370,-323.261354178,0.000000,1.011588,-0.000000,1,1599.5,rks_sp,0.056420,0.069882,0.046177,0.051793,0.019469,2.345707,2.365741,3.965255,-0.020034,1.049079,1.052271,-0.003192,24,27
rxn5691,uma-m,-323.407073596,-323.317895931,-323.368406162,-323.254549549,0.000000,1.017103,-0.000000,1,1723.7,rks_sp,0.089586,0.108161,0.075413,0.059011,0.013478,2.435172,2.426648,4.150391,0.008524,1.051849,1.052194,-0.000345,94,55
rxn5691,uma-s,-323.407074300,-323.320153335,-323.368404720,-323.261708930,-0.000000,1.011401,0.000000,1,1590.4,rks_sp,0.040946,0.045546,0.130046,0.130293,0.023704,2.366609,2.365240,3.955593,0.001369,1.053237,1.052253,0.000984,22,27
rxn6196,esen,-323.431471781,-323.276471214,-323.304437966,-323.273992226,-0.000000,0.510209,0.000000,1,67.5,rks_sp,0.123285,0.169553,0.142231,0.075643,0.015710,4.220816,4.217780,4.285237,0.003035,3.456551,3.456766,-0.000215,25,21
rxn6196,uma-m,-323.431471962,-323.276501883,-323.304437708,-323.274187781,-0.000000,0.495274,0.000000,1,63.0,rks_sp,0.118054,0.155673,0.139814,0.075214,0.012715,4.211300,4.216951,4.279921,-0.005650,3.453412,3.456778,-0.003366,25,21
rxn6196,uma-s,-323.431471900,-323.276515718,-323.304436062,-323.273909818,-0.000000,0.516633,-0.000000,1,70.9,rks_sp,0.110232,0.139041,0.086116,0.119177,0.034846,4.224464,4.216573,4.287483,0.007891,3.457663,3.456821,0.000842,25,22
rxn7060,esen,-323.483667630,-323.255865383,-323.364292305,-323.255865354,0.000000,-0.000000,0.000000,0,0.0,rks_sp,0.028368,0.030809,1.088923,1.102703,0.202551,6.121081,6.198815,6.198816,-0.077734,3.244184,3.248368,-0.004184,15,13
rxn7060,uma-m,-323.483667358,-323.257512670,-323.364292320,,-0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.002260,0.002491,0.303875,0.305933,0.072689,6.149319,6.153983,,-0.004664,3.243276,3.248360,-0.005084,17,
rxn7060,uma-s,-323.483667714,-323.256748437,-323.364288328,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.018863,0.019096,0.852308,0.858009,0.157275,6.136671,6.174788,,-0.038117,3.241416,3.248479,-0.007063,16,
rxn7936,esen,-323.471272362,-323.258130480,-323.331378389,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.121745,0.122472,0.151322,0.273068,0.049983,5.798029,5.799886,,-0.001857,3.806948,3.806709,0.000239,18,
rxn7936,uma-m,-323.471272442,-323.258182901,-323.331383615,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.050618,0.059506,0.051841,0.073888,0.017773,5.794565,5.798462,,-0.003897,3.804061,3.806569,-0.002508,18,
rxn7936,uma-s,-323.471272224,-323.258167192,-323.331381045,,0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.031175,0.039334,0.108972,0.110532,0.023882,5.792302,5.798883,,-0.006581,3.807251,3.806633,0.000618,18,
rxn7937,esen,-323.471272362,-323.330821402,-323.364442422,,0.000000,-0.000000,1.037838,0,0.0,stabperform_stable,0.002154,0.002946,0.205546,0.205557,0.040291,3.803799,3.821865,,-0.018067,2.876849,2.906991,-0.030142,16,
rxn7937,uma-m,-323.471272442,-323.330994294,-323.364536870,,-0.000000,0.000000,1.040038,0,0.0,stabperform_stable,0.002191,0.002690,0.035230,0.035123,0.009792,3.814746,3.817163,,-0.002417,2.909845,2.904423,0.005422,19,
rxn7937,uma-s,-323.471272224,-323.330945543,-323.364462500,,-0.000000,0.000000,1.034959,0,0.0,stabperform_stable,0.017209,0.018545,0.089026,0.085079,0.018423,3.813459,3.818484,,-0.005024,2.896870,2.906441,-0.009571,19,
rxn7945,esen,-323.471272362,-323.347011168,-323.367152131,,-0.000000,-0.000000,1.031532,0,0.0,stabperform_stable,0.047060,0.070004,0.129667,0.106711,0.028071,3.386764,3.381319,,0.005444,2.837701,2.833256,0.004445,16,
rxn7945,uma-m,-323.471272442,-323.328191058,-323.367366224,,0.000000,-0.000000,1.036183,0,0.0,stabperform_stable,0.015445,0.018349,0.092319,0.093982,0.017117,3.883763,3.893443,,-0.009680,2.830718,2.827432,0.003286,17,
