rxn,model,unstable,barr_model,barr_dft,err_barr,rxne_model,rxne_dft,err_rxne,s2_R,s2_TS,s2_P
rxn10054,uma-m,0,1.8353,1.8412,-0.0060,-1.4668,-1.4700,0.0032,-0.0000,0.0844,-0.0000
rxn10054,uma-s,0,1.8291,1.8384,-0.0093,-1.4670,-1.4700,0.0030,-0.0000,0.3118,0.0000
rxn1061,esen,0,1.1333,1.1352,-0.0019,-0.6341,-0.6423,0.0082,0.0000,-0.0000,0.0000
rxn1061,uma-m,0,1.1368,1.1351,0.0018,-0.6357,-0.6423,0.0065,-0.0000,-0.0000,0.0000
rxn1061,uma-s,0,1.1382,1.1351,0.0031,-0.6353,-0.6423,0.0070,-0.0000,-0.0000,-0.0000
rxn1147,esen,1,3.8893,3.8864,0.0029,3.4651,3.4777,-0.0126,0.0000,0.0000,-0.0000
rxn1147,uma-m,1,3.8801,3.8874,-0.0072,3.4618,3.4778,-0.0160,0.0000,-0.0000,-0.0000
rxn1150,esen,0,3.5950,3.6039,-0.0088,2.9607,2.9483,0.0124,0.0000,-0.0000,0.0000
rxn1150,uma-m,0,3.6069,3.6046,0.0023,2.9543,2.9481,0.0062,-0.0000,-0.0000,0.0000
rxn1150,uma-s,0,3.6102,3.6047,0.0055,2.9561,2.9480,0.0081,-0.0000,0.0000,-0.0000
rxn1154,esen,0,3.8437,3.8601,-0.0164,0.9690,0.9643,0.0047,0.0000,0.0000,-0.0000
rxn1154,uma-m,0,3.8382,3.8491,-0.0109,0.9706,0.9644,0.0062,-0.0000,-0.0000,-0.0000
rxn1154,uma-s,0,3.8406,3.8483,-0.0077,0.9701,0.9643,0.0058,-0.0000,0.0000,0.0000
rxn1155,esen,0,2.8055,2.8082,-0.0027,0.7516,0.7611,-0.0095,-0.0000,-0.0000,0.0000
rxn1155,uma-m,0,2.8036,2.8080,-0.0044,0.7462,0.7611,-0.0149,-0.0000,-0.0000,-0.0000
rxn1155,uma-s,0,2.8019,2.8082,-0.0064,0.7465,0.7611,-0.0146,-0.0000,0.0000,-0.0000
rxn1283,esen,1,4.8005,4.8220,-0.0215,3.7261,3.7717,-0.0456,-0.0000,0.9871,-0.0000
rxn1283,uma-m,1,4.8169,4.8479,-0.0310,3.7276,3.7688,-0.0412,0.0000,0.9922,-0.0000
rxn1283,uma-s,1,4.8162,4.8195,-0.0034,3.7304,3.7684,-0.0380,-0.0000,0.9783,0.0000
rxn1320,esen,1,2.7681,2.7700,-0.0019,-0.0811,-0.1080,0.0269,-0.0000,0.6880,-0.0000
rxn1320,uma-m,1,2.7707,2.7704,0.0003,-0.0812,-0.1080,0.0268,-0.0000,0.6966,0.0000
rxn1320,uma-s,1,2.7659,2.7714,-0.0055,-0.0813,-0.1080,0.0267,0.0000,0.6900,0.0000
rxn1961,esen,0,2.2447,2.2418,0.0029,0.8890,0.8929,-0.0038,-0.0000,0.0000,0.0000
rxn1961,uma-m,0,2.2445,2.2418,0.0028,0.8880,0.8929,-0.0049,0.0000,0.0000,0.0000
rxn1961,uma-s,0,2.2445,2.2418,0.0026,0.8881,0.8929,-0.0047,-0.0000,-0.0000,-0.0000
rxn1962,esen,0,2.4248,2.4156,0.0092,1.0083,1.0324,-0.0241,-0.0000,0.0000,-0.0000
rxn1962,uma-m,0,2.4224,2.4155,0.0068,1.0089,1.0338,-0.0249,0.0000,0.0000,-0.0000
rxn1962,uma-s,0,2.4229,2.4156,0.0073,1.0073,1.0325,-0.0252,0.0000,0.0000,0.0000
rxn2553,esen,0,1.9829,1.9740,0.0088,0.7282,0.7333,-0.0051,0.0000,-0.0000,0.0000
rxn2553,uma-m,0,1.9746,1.9738,0.0007,0.7271,0.7331,-0.0059,-0.0000,0.0000,-0.0000
rxn2553,uma-s,0,1.9815,1.9739,0.0076,0.7264,0.7333,-0.0068,0.0000,0.0000,-0.0000
rxn3107,esen,1,4.0954,4.1257,-0.0303,1.3080,1.3214,-0.0134,0.0000,0.1424,0.0000
rxn3107,uma-m,1,4.0932,4.1256,-0.0323,1.3111,1.3219,-0.0108,0.0000,0.1713,-0.0000
rxn3107,uma-s,1,4.0891,4.1281,-0.0391,1.3131,1.3219,-0.0087,-0.0000,0.2007,-0.0000
rxn4003,esen,0,1.9732,1.9696,0.0036,0.7221,0.7271,-0.0050,-0.0000,0.0000,-0.0000
rxn4003,uma-m,0,1.9721,1.9696,0.0025,0.7211,0.7271,-0.0060,-0.0000,-0.0000,0.0000
rxn4003,uma-s,0,1.9735,1.9696,0.0038,0.7203,0.7271,-0.0068,-0.0000,0.0000,0.0000
rxn4004,esen,0,2.0890,2.0775,0.0115,1.0746,1.0668,0.0078,0.0000,0.0000,0.0000
rxn4004,uma-m,0,2.0845,2.0773,0.0071,1.0723,1.0668,0.0055,0.0000,-0.0000,0.0000
rxn4004,uma-s,0,2.0858,2.0774,0.0085,1.0715,1.0668,0.0046,0.0000,-0.0000,0.0000
rxn4060,esen,0,1.9634,1.9558,0.0076,0.9977,0.9922,0.0055,0.0000,-0.0000,0.0000
rxn4060,uma-m,0,1.9617,1.9559,0.0059,0.9973,0.9922,0.0051,-0.0000,0.0000,-0.0000
rxn4060,uma-s,0,1.9633,1.9559,0.0073,0.9978,0.9922,0.0055,-0.0000,-0.0000,0.0000
rxn4063,esen,0,1.9340,1.9349,-0.0009,0.6661,0.6780,-0.0119,0.0000,-0.0000,-0.0000
rxn4063,uma-m,0,1.9319,1.9348,-0.0029,0.6666,0.6780,-0.0114,0.0000,0.0000,0.0000
rxn4063,uma-s,0,1.9342,1.9348,-0.0007,0.6651,0.6778,-0.0128,0.0000,-0.0000,0.0000
rxn4113,esen,1,5.3718,5.4259,-0.0541,0.9424,0.9451,-0.0027,0.0000,0.1872,0.0000
rxn4113,uma-m,1,4.3484,4.3612,-0.0127,0.9405,0.9451,-0.0046,-0.0000,1.0072,-0.0000
rxn4113,uma-s,1,5.4006,5.4260,-0.0254,0.9403,0.9451,-0.0048,-0.0000,0.1485,0.0000
rxn4114,esen,0,2.4748,2.4724,0.0024,0.7053,0.7122,-0.0069,-0.0000,-0.0000,-0.0000
rxn4114,uma-m,0,2.4715,2.4723,-0.0009,0.7028,0.7122,-0.0094,0.0000,0.0000,-0.0000
rxn4114,uma-s,0,2.4758,2.4723,0.0035,0.7030,0.7122,-0.0091,0.0000,-0.0000,-0.0000
rxn4498,esen,0,3.2788,3.2914,-0.0126,0.9554,0.9602,-0.0048,0.0000,-0.0000,0.0000
rxn4498,uma-m,0,3.2930,3.2908,0.0022,0.9559,0.9602,-0.0043,0.0000,0.0000,-0.0000
rxn4498,uma-s,0,3.2957,3.2915,0.0043,0.9549,0.9602,-0.0053,0.0000,-0.0000,-0.0000
rxn4500,esen,0,4.8621,4.8631,-0.0009,2.6721,2.6763,-0.0042,-0.0000,-0.0000,-0.0000
rxn4500,uma-m,0,4.8622,4.8630,-0.0008,2.6699,2.6763,-0.0064,-0.0000,-0.0000,-0.0000
rxn4500,uma-s,0,4.8653,4.8630,0.0022,2.6670,2.6763,-0.0093,-0.0000,0.0000,0.0000
rxn4513,esen,0,1.9519,1.9549,-0.0030,-0.8071,-0.8222,0.0150,0.0000,0.0000,0.0000
rxn4513,uma-m,0,1.9457,1.9547,-0.0089,-0.8047,-0.8222,0.0174,0.0000,-0.0000,-0.0000
rxn4513,uma-s,0,1.9481,1.9544,-0.0063,-0.8036,-0.8222,0.0185,0.0000,-0.0000,0.0000
rxn4518,esen,1,3.9113,3.9253,-0.0140,3.1034,3.0940,0.0094,0.0000,1.0089,0.0000
rxn4518,uma-m,1,3.9286,3.9282,0.0005,3.1039,3.0940,0.0099,-0.0000,1.0082,-0.0000
rxn4518,uma-s,1,3.9103,3.9257,-0.0154,3.1059,3.0940,0.0119,-0.0000,1.0086,0.0000
rxn4519,esen,0,4.8884,4.9005,-0.0121,1.4671,1.4461,0.0210,-0.0000,-0.0000,-0.0000
rxn4519,uma-m,0,4.8886,4.8996,-0.0110,1.4690,1.4461,0.0229,-0.0000,-0.0000,-0.0000
rxn4519,uma-s,0,4.8925,4.9005,-0.0080,1.4698,1.4461,0.0237,0.0000,0.0000,0.0000
rxn4522,esen,1,3.8633,3.8432,0.0201,2.2365,2.2307,0.0058,0.0000,1.0053,0.0000
rxn4522,uma-m,1,3.8504,3.8447,0.0057,2.2363,2.2306,0.0057,-0.0000,1.0051,-0.0000
rxn4522,uma-s,1,3.8469,3.8412,0.0057,2.2358,2.2306,0.0051,-0.0000,1.0055,-0.0000
rxn5690,esen,1,3.4653,3.4913,-0.0260,2.7370,2.7272,0.0097,-0.0000,0.2866,0.0000
rxn5690,uma-m,1,3.4797,3.4858,-0.0060,2.7322,2.7271,0.0051,-0.0000,0.3154,0.0000
rxn5690,uma-s,1,3.4723,3.4865,-0.0142,2.7356,2.7271,0.0085,-0.0000,0.3023,0.0000
rxn5691,esen,1,2.3457,2.3734,-0.0277,1.0491,1.0538,-0.0047,-0.0000,1.0114,-0.0000
rxn5691,uma-m,1,2.4352,2.4354,-0.0002,1.0518,1.0537,-0.0018,0.0000,1.0171,-0.0000
rxn5691,uma-s,1,2.3666,2.3728,-0.0062,1.0532,1.0537,-0.0005,-0.0000,1.0112,-0.0000
rxn6196,esen,1,4.2208,4.2204,0.0004,3.4566,3.4543,0.0022,-0.0000,0.5133,-0.0000
rxn6196,uma-m,1,4.2113,4.2196,-0.0083,3.4534,3.4543,-0.0009,-0.0000,0.4984,-0.0000
rxn6196,uma-s,1,4.2245,4.2189,0.0055,3.4577,3.4543,0.0034,-0.0000,0.5194,0.0000
rxn7060,esen,1,6.1211,6.2075,-0.0864,3.2442,3.2558,-0.0116,-0.0000,-0.0000,0.0000
rxn7060,uma-m,1,6.1493,6.1612,-0.0119,3.2433,3.2558,-0.0125,0.0000,-0.0000,0.0000
rxn7060,uma-s,1,6.1367,6.1834,-0.0467,3.2414,3.2559,-0.0145,0.0000,-0.0000,-0.0000
rxn7936,esen,0,5.7980,5.8142,-0.0162,3.8069,3.8114,-0.0044,0.0000,0.0000,0.0000
rxn7936,uma-m,0,5.7946,5.8126,-0.0181,3.8041,3.8111,-0.0071,-0.0000,0.0000,-0.0000
rxn7936,uma-s,0,5.7923,5.8130,-0.0207,3.8073,3.8112,-0.0040,-0.0000,0.0000,0.0000
rxn7937,esen,0,3.8038,3.8313,-0.0275,2.8768,2.9118,-0.0349,0.0000,-0.0000,1.0378
rxn7937,uma-m,0,3.8147,3.8262,-0.0115,2.9098,2.9091,0.0008,-0.0000,0.0000,1.0400
rxn7937,uma-s,0,3.8135,3.8278,-0.0143,2.8969,2.9114,-0.0146,-0.0000,0.0000,1.0349
rxn7945,esen,0,3.3868,3.3872,-0.0004,2.8377,2.8379,-0.0002,-0.0000,0.0000,1.0316
rxn7945,uma-m,0,3.8838,3.8995,-0.0157,2.8307,2.8320,-0.0012,0.0000,-0.0000,1.0362
rxn7945,uma-s,0,3.8687,3.9002,-0.0315,2.8218,2.8350,-0.0133,-0.0000,0.0000,1.0299
rxn7949,esen,1,2.7520,2.7545,-0.0025,-0.1320,-0.1386,0.0067,-0.0000,1.0014,0.0000
rxn7949,uma-m,1,2.7669,2.7542,0.0127,-0.1320,-0.1386,0.0066,-0.0000,1.0001,0.0000
rxn7949,uma-s,1,2.7971,2.7696,0.0275,-0.1326,-0.1386,0.0060,-0.0000,0.9974,0.0000
rxn7955,esen,0,3.0218,3.0237,-0.0019,2.9365,2.9451,-0.0085,0.0000,-0.0000,-0.0000
rxn7955,uma-m,0,3.0123,3.0235,-0.0112,2.9378,2.9455,-0.0076,0.0000,-0.0000,-0.0000
rxn7955,uma-s,0,3.0137,3.0236,-0.0100,2.9422,2.9448,-0.0026,-0.0000,-0.0000,0.0000
rxn7957,esen,1,2.9465,2.9174,0.0292,1.5980,1.5995,-0.0015,0.0000,0.7335,-0.0000
rxn7957,uma-s,1,2.9154,2.9172,-0.0018,1.6001,1.5995,0.0006,0.0000,0.7368,0.0000
rxn8827,esen,1,3.4866,3.4413,0.0452,2.7002,2.7242,-0.0240,-0.0000,1.0096,1.0065
rxn8827,uma-m,1,3.4555,3.4428,0.0127,2.7099,2.7218,-0.0119,-0.0000,1.0074,1.0074
rxn8827,uma-s,1,3.4560,3.4551,0.0009,2.6963,2.7219,-0.0256,0.0000,1.0015,1.0074
rxn8829,esen,0,2.9017,2.9024,-0.0007,-1.3452,-1.3463,0.0011,0.0000,0.0000,-0.0000
rxn8829,uma-m,0,2.8885,2.9021,-0.0135,-1.3434,-1.3463,0.0028,0.0000,-0.0000,0.0000
rxn8829,uma-s,0,2.8967,2.9022,-0.0055,-1.3435,-1.3463,0.0028,-0.0000,0.0000,0.0000
rxn8832,esen,1,2.5270,2.4908,0.0362,0.8601,0.8594,0.0006,-0.0000,0.9884,0.5576
rxn8832,uma-m,1,2.4747,2.4849,-0.0103,0.8610,0.8591,0.0019,-0.0000,0.9900,0.5590
rxn8832,uma-s,1,2.4929,2.5009,-0.0081,0.8626,0.8596,0.0030,-0.0000,0.9822,0.5574
rxn8837,esen,1,4.5923,4.5867,0.0056,2.6773,2.7087,-0.0314,-0.0000,0.0000,0.9586
rxn8837,uma-m,1,6.9451,6.9076,0.0375,2.6805,2.7044,-0.0240,0.0000,1.0070,0.9573
rxn8837,uma-s,1,9.6382,9.0238,0.6143,2.6513,2.7032,-0.0520,-0.0000,1.0099,0.9636
rxn8885,esen,1,3.2629,3.2886,-0.0257,1.0892,1.1055,-0.0163,0.0000,1.0280,0.0000
rxn8885,uma-m,1,3.5723,3.5970,-0.0247,1.0914,1.1055,-0.0141,0.0000,0.1710,-0.0000
rxn8885,uma-s,1,3.2429,3.2513,-0.0085,1.0895,1.1055,-0.0160,-0.0000,1.0244,-0.0000
rxn9246,esen,0,1.7774,1.7800,-0.0026,0.8566,0.8593,-0.0027,-0.0000,0.0000,-0.0000
rxn9246,uma-m,0,1.7756,1.7800,-0.0044,0.8572,0.8593,-0.0020,-0.0000,0.0000,-0.0000
rxn9246,uma-s,0,1.7781,1.7798,-0.0017,0.8555,0.8593,-0.0038,-0.0000,-0.0000,-0.0000
